alexnet,0.1,5,5,177.0,0.025959999999999962,283.0,0.02721999999999991
fc1,0.1,5,5,27.6,0.017259999999999998,263.6,0.020579999999999998
fc2,0.1,5,5,135.4,0.017259999999999987,233.4,0.018720000000000014
googlenet,0.1,5,5,199.2,0.05498000000000001,290.6,0.056360000000000035
lenet,0.1,5,5,177.8,0.07710000000000003,350.2,0.08548000000000004
resnet34,0.1,5,5,141.4,0.04505999999999997,263.8,0.04681999999999995
resnet50,0.1,5,5,234.8,0.03402000000000005,291.2,0.03498000000000003
resnet101,0.1,5,5,138.8,0.03859999999999995,296.0,0.04134
vgg11,0.1,5,5,175.2,0.03178000000000001,295.8,0.03316000000000001
vgg16,0.1,5,5,194.6,0.03580000000000001,333.4,0.037759999999999995
vgg19,0.1,5,5,149.2,0.03174000000000006,279.2,0.03522000000000007
alexnet,0.19,5,5,177.4,0.026259999999999995,283.4,0.027519999999999944
fc1,0.19,5,5,28.0,0.019679999999999996,264.0,0.023
fc2,0.19,5,5,136.8,0.01589999999999999,234.8,0.01736000000000002
googlenet,0.19,5,5,198.4,0.035580000000000014,289.8,0.036960000000000034
lenet,0.19,5,5,178.2,0.07978000000000003,350.6,0.08816000000000004
resnet34,0.19,5,5,137.6,0.035579999999999966,260.0,0.03733999999999995
resnet50,0.19,5,5,246.8,0.03276000000000001,303.2,0.03371999999999999
resnet101,0.19,5,5,138.6,0.03803999999999994,295.8,0.04078
vgg11,0.19,5,5,185.4,0.04718,306.0,0.048560000000000006
vgg16,0.19,5,5,190.6,0.031279999999999995,329.4,0.03323999999999998
vgg19,0.19,5,5,150.8,0.03260000000000003,280.8,0.03608000000000004
alexnet,0.28,5,5,189.4,0.028680000000000018,295.4,0.029939999999999967
fc1,0.28,5,5,25.8,0.02138,261.8,0.0247
fc2,0.28,5,5,135.2,0.016620000000000003,233.2,0.01808000000000003
googlenet,0.28,5,5,200.6,0.053120000000000035,292.0,0.05450000000000006
lenet,0.28,5,5,168.0,0.07372000000000004,340.4,0.08210000000000003
resnet34,0.28,5,5,138.4,0.037899999999999975,260.8,0.03965999999999996
resnet50,0.28,5,5,240.8,0.032620000000000024,297.2,0.03358000000000001
resnet101,0.28,5,5,138.6,0.03803999999999994,295.8,0.04078
vgg11,0.28,5,5,182.2,0.04186000000000001,302.8,0.043240000000000015
vgg16,0.28,5,5,194.8,0.03774000000000002,333.6,0.0397
vgg19,0.28,5,5,151.0,0.03088000000000002,281.0,0.034360000000000036
alexnet,0.37,5,5,197.6,0.03686000000000007,303.6,0.03812000000000002
fc1,0.37,5,5,16.8,0.018919999999999982,252.8,0.022239999999999982
fc2,0.37,5,5,136.6,0.01791999999999999,234.6,0.01938000000000002
googlenet,0.37,5,5,200.2,0.04175999999999998,291.6,0.04314
lenet,0.37,5,5,178.0,0.07880000000000002,350.4,0.08718000000000004
resnet34,0.37,5,5,150.2,0.04159999999999997,272.6,0.043359999999999954
resnet50,0.37,5,5,247.4,0.03368000000000002,303.8,0.034640000000000004
resnet101,0.37,5,5,137.6,0.03493999999999995,294.8,0.037680000000000005
vgg11,0.37,5,5,181.2,0.035799999999999964,301.8,0.03717999999999997
vgg16,0.37,5,5,194.0,0.03136000000000001,332.8,0.033319999999999995
vgg19,0.37,5,5,148.4,0.027260000000000017,278.4,0.030740000000000035
alexnet,0.45999999999999996,5,5,197.6,0.03686000000000007,303.6,0.03812000000000002
fc1,0.45999999999999996,5,5,31.2,0.017479999999999996,267.2,0.020799999999999996
fc2,0.45999999999999996,5,5,137.2,0.020299999999999985,235.2,0.021760000000000012
googlenet,0.45999999999999996,5,5,197.6,0.05284,289.0,0.054220000000000025
lenet,0.45999999999999996,5,5,169.8,0.07060000000000002,342.2,0.07898000000000002
resnet34,0.45999999999999996,5,5,138.4,0.03713999999999999,260.8,0.038899999999999976
resnet50,0.45999999999999996,5,5,245.4,0.03298000000000003,301.8,0.03394000000000001
resnet101,0.45999999999999996,5,5,127.2,0.033239999999999915,284.4,0.03597999999999997
vgg11,0.45999999999999996,5,5,171.6,0.027800000000000002,292.2,0.029180000000000005
vgg16,0.45999999999999996,5,5,195.2,0.03270000000000002,334.0,0.03466
vgg19,0.45999999999999996,5,5,148.6,0.029920000000000013,278.6,0.03340000000000003
alexnet,0.5499999999999999,5,5,177.0,0.030000000000000047,283.0,0.031259999999999996
fc1,0.5499999999999999,5,5,32.6,0.019479999999999997,268.6,0.022799999999999997
fc2,0.5499999999999999,5,5,139.4,0.01985999999999998,237.4,0.021320000000000006
googlenet,0.5499999999999999,5,5,199.8,0.06314,291.2,0.06452000000000002
lenet,0.5499999999999999,5,5,169.4,0.06792000000000002,341.8,0.07630000000000003
resnet34,0.5499999999999999,5,5,149.6,0.04513999999999998,272.0,0.04689999999999996
resnet50,0.5499999999999999,5,5,245.6,0.038980000000000035,302.0,0.03994000000000002
resnet101,0.5499999999999999,5,5,124.0,0.03379999999999992,281.2,0.036539999999999975
vgg11,0.5499999999999999,5,5,170.4,0.02520000000000002,291.0,0.026580000000000027
vgg16,0.5499999999999999,5,5,192.6,0.03290000000000002,331.4,0.03486
vgg19,0.5499999999999999,5,5,148.2,0.028500000000000015,278.2,0.03198000000000003
alexnet,0.64,5,5,192.6,0.03368000000000004,298.6,0.03493999999999999
fc1,0.64,5,5,27.0,0.018359999999999987,263.0,0.021679999999999987
fc2,0.64,5,5,135.2,0.018339999999999988,233.2,0.01980000000000002
googlenet,0.64,5,5,201.6,0.054320000000000014,293.0,0.05570000000000004
