alexnet,0.1,5,5,0,0.05,164.8,0.019840000000000014,270.8,0.021099999999999963
fc1,0.1,5,5,0,0.05,22.8,0.007159999999999988,258.8,0.01047999999999999
fc2,0.1,5,5,0,0.05,114.0,0.008819999999999995,212.0,0.010280000000000022
GoogLeNet,0.1,5,5,0,0.05,184.4,0.028659999999999998,275.8,0.03004000000000002
lenet,0.1,5,5,0,0.05,166.8,0.05786000000000004,339.2,0.06624000000000005
resnet34,0.1,5,5,0,0.05,137.4,0.032479999999999974,259.8,0.03423999999999996
resnet50,0.1,5,5,0,0.05,198.2,0.02178000000000002,254.6,0.022740000000000003
resnet101,0.1,5,5,0,0.05,133.2,0.025219999999999954,290.4,0.027960000000000006
vgg11,0.1,5,5,0,0.05,122.2,0.015080000000000005,242.8,0.01646000000000001
vgg16,0.1,5,5,0,0.05,177.4,0.031400000000000025,316.2,0.033360000000000015
vgg19,0.1,5,5,0,0.05,133.0,0.017899999999999982,263.0,0.02138
alexnet,0.1,5,5,0,0.1318181818181818,163.8,0.01903999999999999,269.8,0.02029999999999994
fc1,0.1,5,5,0,0.1318181818181818,21.8,0.004999999999999993,257.8,0.008319999999999994
fc2,0.1,5,5,0,0.1318181818181818,95.8,0.00746,193.8,0.008920000000000029
GoogLeNet,0.1,5,5,0,0.1318181818181818,183.6,0.028339999999999987,275.0,0.029720000000000014
lenet,0.1,5,5,0,0.1318181818181818,166.0,0.05744000000000005,338.4,0.06582000000000006
resnet34,0.1,5,5,0,0.1318181818181818,136.4,0.032479999999999974,258.8,0.03423999999999996
resnet50,0.1,5,5,0,0.1318181818181818,197.2,0.02142000000000004,253.6,0.02238000000000002
resnet101,0.1,5,5,0,0.1318181818181818,132.2,0.023819999999999952,289.4,0.026560000000000007
vgg11,0.1,5,5,0,0.1318181818181818,121.2,0.014620000000000011,241.8,0.016000000000000014
vgg16,0.1,5,5,0,0.1318181818181818,176.6,0.031200000000000026,315.4,0.03316000000000001
vgg19,0.1,5,5,0,0.1318181818181818,132.0,0.017899999999999982,262.0,0.02138
