alexnet,0.6,5,5,0,178.0,0.024760000000000004,284.0,0.026019999999999953
fc1,0.6,5,5,0,21.2,0.004999999999999993,257.2,0.008319999999999994
fc2,0.6,5,5,0,127.4,0.012119999999999997,225.4,0.013580000000000026
googlenet,0.6,5,5,0,194.0,0.029600000000000005,285.4,0.03098000000000003
lenet,0.6,5,5,0,162.6,0.0504,335.0,0.05878000000000001
resnet34,0.6,5,5,0,123.2,0.019039999999999967,245.6,0.02079999999999995
resnet50,0.6,5,5,0,232.0,0.022560000000000045,288.4,0.02352000000000003
resnet101,0.6,5,5,0,128.0,0.02189999999999994,285.2,0.024639999999999995
vgg11,0.6,5,5,0,150.2,0.016459999999999985,270.8,0.017839999999999988
vgg16,0.6,5,5,0,194.2,0.02892000000000001,333.0,0.030879999999999998
vgg19,0.6,5,5,0,126.2,0.01771999999999998,256.2,0.021199999999999997
alexnet,0.6,5,5,5,201.8,0.037820000000000055,307.8,0.039080000000000004
fc1,0.6,5,5,5,36.4,0.010360000000000003,272.4,0.013680000000000003
fc2,0.6,5,5,5,134.0,0.010720000000000007,232.0,0.012180000000000035
googlenet,0.6,5,5,5,205.2,0.03762000000000001,296.6,0.039000000000000035
lenet,0.6,5,5,5,172.0,0.06344000000000008,344.4,0.07182000000000008
resnet34,0.6,5,5,5,160.8,0.060879999999999976,283.2,0.06263999999999996
resnet50,0.6,5,5,5,259.0,0.05070000000000001,315.4,0.05166
resnet101,0.6,5,5,5,157.0,0.03835999999999997,314.2,0.041100000000000025
vgg11,0.6,5,5,5,193.2,0.044099999999999986,313.8,0.045479999999999986
vgg16,0.6,5,5,5,210.0,0.040180000000000014,348.8,0.04214
vgg19,0.6,5,5,5,162.2,0.03717999999999999,292.2,0.04066000000000001
alexnet,0.6,5,5,10,188.4,0.028240000000000064,294.4,0.029500000000000016
fc1,0.6,5,5,10,31.8,0.010360000000000003,267.8,0.013680000000000003
fc2,0.6,5,5,10,128.8,0.010720000000000007,226.8,0.012180000000000035
googlenet,0.6,5,5,10,192.8,0.024960000000000003,284.2,0.02634000000000003
lenet,0.6,5,5,10,168.4,0.055460000000000065,340.8,0.06384000000000008
resnet34,0.6,5,5,10,154.4,0.05269999999999997,276.8,0.05445999999999995
resnet50,0.6,5,5,10,257.2,0.04810000000000001,313.6,0.04905999999999999
resnet101,0.6,5,5,10,155.2,0.03703999999999996,312.4,0.03978000000000002
vgg11,0.6,5,5,10,188.0,0.03882000000000001,308.6,0.040200000000000014
vgg16,0.6,5,5,10,210.6,0.04204000000000001,349.4,0.044
vgg19,0.6,5,5,10,157.8,0.033279999999999976,287.8,0.036759999999999994
alexnet,0.6,5,5,15,184.4,0.027340000000000052,290.4,0.028600000000000004
fc1,0.6,5,5,15,31.8,0.010360000000000003,267.8,0.013680000000000003
fc2,0.6,5,5,15,127.2,0.010260000000000002,225.2,0.01172000000000003
googlenet,0.6,5,5,15,182.4,0.01988000000000001,273.8,0.021260000000000036
lenet,0.6,5,5,15,165.4,0.052920000000000036,337.8,0.06130000000000004
resnet34,0.6,5,5,15,151.0,0.052139999999999964,273.4,0.05389999999999995
resnet50,0.6,5,5,15,251.8,0.04526000000000001,308.2,0.04622
resnet101,0.6,5,5,15,155.2,0.03703999999999996,312.4,0.03978000000000002
vgg11,0.6,5,5,15,188.0,0.03882000000000001,308.6,0.040200000000000014
vgg16,0.6,5,5,15,210.6,0.04204000000000001,349.4,0.044
vgg19,0.6,5,5,15,154.0,0.03255999999999999,284.0,0.03604
alexnet,0.6799999999999999,5,5,0,160.2,0.019439999999999992,266.2,0.02069999999999994
fc1,0.6799999999999999,5,5,0,-7.4,0.0018800000000000038,228.6,0.005200000000000005
fc2,0.6799999999999999,5,5,0,122.6,0.011659999999999993,220.6,0.01312000000000002
googlenet,0.6799999999999999,5,5,0,197.2,0.04084000000000003,288.6,0.042220000000000056
lenet,0.6799999999999999,5,5,0,165.8,0.05548000000000004,338.2,0.06386000000000006
resnet34,0.6799999999999999,5,5,0,139.6,0.03111999999999999,262.0,0.03287999999999998
resnet50,0.6799999999999999,5,5,0,231.8,0.022560000000000045,288.2,0.02352000000000003
resnet101,0.6799999999999999,5,5,0,117.2,0.015899999999999935,274.4,0.01863999999999999
vgg11,0.6799999999999999,5,5,0,158.2,0.023839999999999993,278.8,0.02522
vgg16,0.6799999999999999,5,5,0,180.0,0.02288000000000001,318.8,0.024839999999999994
vgg19,0.6799999999999999,5,5,0,128.8,0.01601999999999999,258.8,0.019500000000000007
alexnet,0.6799999999999999,5,5,5,198.4,0.03502000000000003,304.4,0.03627999999999998
fc1,0.6799999999999999,5,5,5,33.0,0.009119999999999994,269.0,0.012439999999999996
fc2,0.6799999999999999,5,5,5,136.2,0.011160000000000003,234.2,0.01262000000000003
googlenet,0.6799999999999999,5,5,5,205.0,0.03762000000000001,296.4,0.039000000000000035
lenet,0.6799999999999999,5,5,5,170.6,0.05948000000000002,343.0,0.06786000000000003
resnet34,0.6799999999999999,5,5,5,151.2,0.04363999999999994,273.6,0.045399999999999927
resnet50,0.6799999999999999,5,5,5,254.8,0.03856000000000002,311.2,0.03952
resnet101,0.6799999999999999,5,5,5,156.2,0.037899999999999955,313.4,0.04064000000000001
vgg11,0.6799999999999999,5,5,5,193.4,0.043219999999999995,314.0,0.044599999999999994
vgg16,0.6799999999999999,5,5,5,206.2,0.03161999999999998,345.0,0.033579999999999964
vgg19,0.6799999999999999,5,5,5,166.2,0.04633999999999998,296.2,0.049819999999999996
alexnet,0.6799999999999999,5,5,10,190.6,0.026080000000000058,296.6,0.02734000000000001
fc1,0.6799999999999999,5,5,10,28.8,0.007220000000000004,264.8,0.010540000000000004
fc2,0.6799999999999999,5,5,10,134.4,0.011160000000000003,232.4,0.01262000000000003
googlenet,0.6799999999999999,5,5,10,197.0,0.03084,288.4,0.032220000000000026
lenet,0.6799999999999999,5,5,10,160.8,0.047760000000000045,333.2,0.05614000000000006
resnet34,0.6799999999999999,5,5,10,134.2,0.026999999999999934,256.6,0.028759999999999918
resnet50,0.6799999999999999,5,5,10,246.2,0.028360000000000007,302.6,0.029319999999999992
