alexnet,0.1,5,5,3,113.80000000000001,0.7344476095154088
fc1,0.1,5,5,3,-4.600000000000001,0.37326851221314883
fc2,0.1,5,5,3,71.6,0.376164972738049
googlenet,0.1,5,5,3,96.6,0.7937527003008231
lenet,0.1,5,5,3,135.4,0.6334434645956404
resnet34,0.1,5,5,3,105.4,0.8279892681482044
resnet50,0.1,5,5,3,148.60000000000002,0.8267126945994036
resnet101,0.1,5,5,3,77.4,0.8192556134158108
vgg11,0.1,5,5,3,142.6,0.7821025800765247
vgg16,0.1,5,5,3,100.6,0.7769143683526771
vgg19,0.1,5,5,3,124.2,0.7814439977171883
alexnet,0.1,5,5,4,108.00000000000001,0.7310986005843505
fc1,0.1,5,5,4,-3.0,0.37086703059128195
fc2,0.1,5,5,4,61.0,0.37530750653615874
googlenet,0.1,5,5,4,104.19999999999999,0.788312896745911
lenet,0.1,5,5,4,134.4,0.6269379642954274
resnet34,0.1,5,5,4,124.0,0.823949539093275
resnet50,0.1,5,5,4,147.60000000000002,0.8229978699865643
resnet101,0.1,5,5,4,88.6,0.8145672168817909
vgg11,0.1,5,5,4,133.20000000000002,0.7773161606952825
vgg16,0.1,5,5,4,103.0,0.7704320894800625
vgg19,0.1,5,5,4,130.0,0.7768214909776512
alexnet,0.1,5,5,5,107.60000000000001,0.7293665072071032
fc1,0.1,5,5,5,-2.6000000000000014,0.3706521336447028
fc2,0.1,5,5,5,53.0,0.37440892340819637
googlenet,0.1,5,5,5,99.19999999999999,0.7843194177367615
lenet,0.1,5,5,5,122.0,0.6247196834638769
resnet34,0.1,5,5,5,126.4,0.8210833423442125
resnet50,0.1,5,5,5,154.6,0.8209278758008287
resnet101,0.1,5,5,5,96.0,0.8126538682632052
vgg11,0.1,5,5,5,131.2,0.7742561291832835
vgg16,0.1,5,5,5,113.4,0.7672797544924437
vgg19,0.1,5,5,5,117.0,0.7740757511242494
alexnet,0.1,5,5,6,102.4,0.727653617036489
fc1,0.1,5,5,6,-5.0,0.3698823026383148
fc2,0.1,5,5,6,59.2,0.3737298950810599
googlenet,0.1,5,5,6,101.8,0.7823321093383461
lenet,0.1,5,5,6,114.0,0.6217871844493407
resnet34,0.1,5,5,6,125.2,0.8189196242343777
resnet50,0.1,5,5,6,161.6,0.8187503194917048
resnet101,0.1,5,5,6,97.6,0.8116909810915974
vgg11,0.1,5,5,6,139.20000000000002,0.7723995095420402
vgg16,0.1,5,5,6,110.6,0.7649396065728136
vgg19,0.1,5,5,6,123.8,0.772277448085443
alexnet,0.1,5,5,7,115.00000000000001,0.7260376843661543
fc1,0.1,5,5,7,12.200000000000003,0.3694492196686271
fc2,0.1,5,5,7,62.2,0.37306041035597653
googlenet,0.1,5,5,7,100.19999999999999,0.7808867549030056
lenet,0.1,5,5,7,113.4,0.6200128838292422
resnet34,0.1,5,5,7,114.0,0.8171576281206643
resnet50,0.1,5,5,7,140.2,0.816907850940712
resnet101,0.1,5,5,7,95.19999999999999,0.8108549182149655
vgg11,0.1,5,5,7,138.8,0.770929132678401
vgg16,0.1,5,5,7,89.0,0.7626772495194643
vgg19,0.1,5,5,7,121.4,0.7710421594845994
alexnet,0.1,5,5,8,119.60000000000001,0.7249729651228141
fc1,0.1,5,5,8,7.800000000000001,0.3686702518878559
fc2,0.1,5,5,8,53.800000000000004,0.3723818183030299
googlenet,0.1,5,5,8,101.8,0.7797861482757558
lenet,0.1,5,5,8,120.2,0.6181636349355877
resnet34,0.1,5,5,8,114.2,0.8160482544669354
resnet50,0.1,5,5,8,153.0,0.8159540915994443
resnet101,0.1,5,5,8,82.8,0.8094113589083892
vgg11,0.1,5,5,8,139.4,0.7697802869433492
vgg16,0.1,5,5,8,97.2,0.7613318794635457
vgg19,0.1,5,5,8,119.0,0.7703208330292974
alexnet,0.1,5,5,9,112.20000000000002,0.7244534775174997
fc1,0.1,5,5,9,4.600000000000001,0.36849086270175196
fc2,0.1,5,5,9,49.0,0.37213578812081455
googlenet,0.1,5,5,9,92.8,0.7777979924157861
lenet,0.1,5,5,9,130.0,0.6164117258914648
resnet34,0.1,5,5,9,109.4,0.8154972385300935
resnet50,0.1,5,5,9,152.4,0.8152994441387323
resnet101,0.1,5,5,9,62.8,0.808137336524698
vgg11,0.1,5,5,9,133.20000000000002,0.7686659957517362
vgg16,0.1,5,5,9,105.0,0.7606910428381104
vgg19,0.1,5,5,9,123.4,0.7694624720698643
alexnet,0.1,5,5,10,111.20000000000002,0.7240314089073151
fc1,0.1,5,5,10,5.0,0.36846072491165993
fc2,0.1,5,5,10,54.2,0.3715743039087733
googlenet,0.1,5,5,10,100.39999999999999,0.7756170500658899
lenet,0.1,5,5,10,129.8,0.6157606603869362
resnet34,0.1,5,5,10,109.6,0.815350619855347
resnet50,0.1,5,5,10,156.0,0.8146927449032195
resnet101,0.1,5,5,10,79.8,0.8073216549617779
vgg11,0.1,5,5,10,129.4,0.7677157420978957
vgg16,0.1,5,5,10,111.2,0.7599141589038865
vgg19,0.1,5,5,10,121.0,0.7683911036849832
alexnet,0.1,5,5,11,111.20000000000002,0.7238383819447584
fc1,0.1,5,5,11,-20.4,0.3683775173610107
fc2,0.1,5,5,11,52.400000000000006,0.3706985496475279
googlenet,0.1,5,5,11,100.39999999999999,0.7747213847312996
lenet,0.1,5,5,11,116.8,0.6147896504314266
