Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
143,92.82,91.73,93.04,91.81,92.7
144,91.67,92.29,93.01,92.01,92.71
145,92.21,92.21,93.16,91.67,92.75
146,92.65,92.42,93.08,92.37,92.76
147,92.46,92.64,93.13,92.3,92.73
148,92.34,92.61,93.05,92.07,92.81
149,92.9,92.18,92.99,92.32,92.71
150,92.12,92.59,93.05,92.15,92.81
151,92.36,92.19,93.01,92.53,92.79
152,92.66,92.47,93.07,92.04,92.79
153,92.4,92.91,93.06,92.3,92.69
154,93.16,92.88,93.07,92.4,92.73
155,93.17,92.53,93.12,92.47,92.75
156,93.28,92.59,93.05,92.4,92.72
157,93.22,92.97,93.22,91.63,92.64
158,93.33,92.63,93.27,92.07,92.79
159,93.37,92.89,93.1,92.0,92.77
160,93.38,91.96,93.17,92.57,92.82
161,93.37,92.11,93.08,92.12,92.8
162,93.32,92.47,93.13,92.51,92.71
163,93.36,93.03,93.05,91.93,92.66
164,93.31,92.93,93.11,92.09,92.74
165,93.35,93.28,93.15,91.97,92.78
166,93.37,92.55,93.07,92.01,92.73
167,93.35,92.3,93.12,92.47,92.76
168,93.38,92.64,93.12,92.61,92.72
169,93.36,92.89,93.09,92.17,92.82
170,93.37,92.75,93.17,92.26,92.74
171,93.33,92.83,93.21,91.74,92.74
172,93.41,92.95,93.26,92.14,92.78
173,93.34,93.24,93.13,92.12,92.73
174,93.38,93.24,93.27,92.34,92.7
175,93.38,93.14,93.19,92.5,92.74
176,93.4,92.35,93.21,92.75,92.74
177,93.31,92.85,93.17,92.51,92.77
178,93.35,92.65,93.19,92.36,92.82
179,93.39,92.78,93.2,92.35,92.71
180,93.35,92.84,93.14,92.0,92.72
181,93.35,93.1,93.17,92.61,92.76
182,93.28,91.58,93.17,92.72,92.74
183,93.28,93.03,93.18,92.29,92.75
184,93.38,92.88,93.27,92.56,92.73
185,93.36,92.96,93.24,92.11,92.76
186,93.37,92.81,93.21,92.68,92.79
187,93.38,92.6,93.25,92.34,92.82
