Epoch,ASWS Schedule 1,ASWS Schedule 2,StepLR Schedule,CyclicLR Schedule,ReduceLR Schedule
143,91.53,92.97,93.76,92.54,93.82
144,92.53,92.83,93.86,92.78,93.74
145,92.54,93.08,93.86,92.82,93.81
146,92.71,93.15,93.94,93.1,93.76
147,92.75,93.06,93.84,93.33,93.71
148,93.15,93.25,94.02,92.7,93.84
149,92.84,93.44,94.01,93.22,93.78
150,91.83,93.18,93.84,93.41,93.74
151,93.05,93.36,93.88,92.8,93.77
152,93.04,93.05,93.98,93.11,93.8
153,93.11,93.16,93.94,93.13,93.77
154,93.25,92.63,94.0,93.05,93.8
155,93.38,93.4,94.0,93.02,93.75
156,93.34,93.38,93.93,93.0,93.73
157,93.21,93.25,94.02,92.78,93.73
158,93.12,93.13,93.95,93.32,93.81
159,93.08,93.07,93.96,92.48,93.63
160,93.03,92.93,93.94,93.05,93.8
161,93.07,93.16,93.83,93.05,93.79
162,92.84,93.13,93.98,93.13,93.77
163,93.31,93.09,93.81,93.27,93.77
164,93.11,92.86,93.98,93.25,93.72
165,93.28,92.79,94.02,93.14,93.79
166,92.98,92.76,93.98,93.17,93.71
167,92.99,93.01,94.03,93.39,93.78
168,93.13,92.9,93.95,93.42,93.79
169,93.24,92.96,93.99,93.39,93.67
170,93.34,91.83,93.95,93.38,93.76
171,93.19,92.91,93.96,93.54,93.73
172,93.33,92.13,93.98,93.54,93.76
173,93.14,92.88,93.98,93.43,93.75
174,93.06,92.74,93.98,93.04,93.74
175,93.08,92.87,93.95,93.18,93.75
176,92.96,92.21,93.98,93.25,93.77
177,93.17,92.6,93.94,92.9,93.68
178,93.1,92.12,93.89,93.16,93.78
179,93.03,92.24,93.97,92.86,93.78
180,93.07,93.0,94.03,92.64,93.78
181,93.04,92.58,93.96,92.85,93.71
182,93.06,92.96,93.82,92.85,93.77
183,93.17,91.72,93.92,92.76,93.76
184,93.34,92.57,94.0,92.51,93.74
185,93.43,92.87,93.9,92.82,93.69
186,93.41,92.84,93.94,92.92,93.76
187,93.27,93.01,94.03,93.39,93.66
188,93.53,92.29,93.94,92.81,93.8
189,93.36,92.89,93.93,92.96,93.7
190,93.25,93.0,93.98,93.09,93.83
191,93.45,92.96,94.11,93.26,93.65
192,93.32,93.0,93.94,92.95,93.78
193,93.17,92.57,94.05,93.16,93.74
194,93.56,92.62,93.93,92.9,93.71
195,93.57,92.74,93.92,92.99,93.71
196,93.58,93.04,94.0,93.22,93.75
197,93.49,93.23,94.09,93.23,93.74
198,93.47,93.28,93.98,93.18,93.63
199,93.38,93.24,93.93,93.22,93.76
200,93.35,93.28,94.11,93.12,93.78
201,92.65,93.15,93.95,93.0,93.82
202,93.54,93.13,94.0,92.87,93.83
203,93.3,92.98,93.95,93.18,93.84
204,93.37,93.31,94.04,93.19,93.73
205,93.41,93.41,94.09,93.26,93.76
206,93.47,93.14,93.95,93.29,93.79
207,93.42,93.14,93.98,93.23,93.83
208,93.26,93.42,94.01,93.43,93.71
209,93.38,93.43,94.06,93.43,93.69
210,93.3,93.59,93.95,93.33,93.66
211,93.31,93.21,93.93,93.4,93.79
212,93.34,93.19,93.97,93.41,93.86
213,93.34,92.9,94.02,93.37,93.8
214,93.0,93.07,94.02,93.42,93.73
215,93.24,92.78,93.99,93.41,93.78
216,93.25,92.59,93.96,93.3,93.75
217,93.41,93.08,93.95,93.39,93.8
218,93.34,92.19,93.92,93.36,93.84
219,93.36,92.21,94.03,93.5,93.76
220,93.15,92.29,94.02,93.33,93.76
221,93.43,92.69,93.99,93.34,93.82
222,93.37,91.85,94.05,93.28,93.93
223,93.3,92.73,94.03,93.37,93.8
224,93.27,91.7,94.02,93.36,93.74
225,93.35,93.07,93.87,93.35,93.81
226,93.41,92.84,94.04,93.46,93.83
227,93.09,91.75,94.02,93.56,93.82
228,93.26,92.66,94.0,93.4,93.77
229,93.22,93.03,94.01,93.22,93.82
230,93.32,92.42,93.97,92.94,93.78
231,93.34,92.3,93.92,93.32,93.8
232,93.33,92.55,93.94,93.36,93.8
233,93.35,92.63,94.06,93.32,93.78
234,93.34,92.25,93.97,93.47,93.7
235,93.32,92.2,94.13,93.48,93.82
236,93.34,91.91,94.03,93.45,93.84
237,93.32,91.58,94.02,93.35,93.8
238,93.29,92.68,93.92,93.44,93.74
239,93.3,92.89,94.03,93.4,93.81
240,93.5,92.99,93.96,93.48,93.81
241,93.16,93.21,93.97,93.52,93.82
242,93.33,93.4,94.0,93.5,93.82
243,93.28,93.26,93.97,93.65,93.79
244,93.35,93.23,93.95,93.58,93.85
245,93.49,93.37,94.02,93.5,93.83
246,93.51,93.4,93.99,93.56,93.75
247,93.53,93.15,94.04,93.44,93.87
248,93.51,92.7,94.04,93.64,93.82
249,93.6,92.78,93.95,93.67,93.85
250,93.64,90.97,93.96,93.45,93.81
251,93.58,92.72,93.88,93.57,93.85
252,93.62,93.19,93.95,93.61,93.82
253,93.43,93.09,93.97,93.48,93.88
254,93.57,92.8,94.02,93.63,93.85
255,93.29,92.92,93.99,93.6,93.8
256,93.31,92.64,93.98,93.6,93.86
257,93.44,92.75,93.98,93.58,93.84
258,93.31,93.07,94.0,93.68,93.81
259,93.45,93.23,93.99,93.67,93.73
260,93.37,92.94,94.03,93.66,93.83
261,93.44,93.01,93.98,93.66,93.83
262,93.4,93.25,93.98,93.6,93.87
263,93.39,93.08,93.98,93.62,93.82
264,93.51,93.2,93.9,93.59,93.7
265,93.53,93.23,93.99,93.62,93.84
266,93.56,93.13,93.91,93.63,93.81
267,93.53,93.44,93.94,93.65,93.82
268,93.56,93.44,94.06,93.59,93.84
269,93.54,92.99,93.99,93.59,93.8
270,93.7,92.62,93.96,93.47,93.84
271,93.47,92.77,93.94,93.63,93.8
272,93.58,93.22,94.05,93.55,93.79
273,93.68,93.16,93.98,93.59,93.86
274,93.71,93.15,94.05,93.62,93.83
275,93.66,93.31,93.95,93.7,93.81
276,93.26,93.19,93.98,93.75,93.74
277,93.45,93.52,93.89,93.69,93.84
278,93.49,93.33,93.97,93.57,93.8
279,93.51,93.24,94.0,93.64,93.86
280,93.37,93.31,93.9,93.71,93.77
281,93.46,93.39,93.94,93.61,93.82
282,93.63,93.46,93.92,93.4,93.81
283,93.54,93.43,93.92,93.62,93.8
284,93.5,93.6,94.02,93.77,93.79
285,93.48,93.2,94.07,93.67,93.8
286,93.55,93.31,93.91,93.72,93.79
287,93.57,93.4,93.95,93.6,93.83
288,93.64,93.35,93.9,93.69,93.84
289,93.58,93.33,93.93,93.24,93.78
290,93.58,93.48,93.87,93.33,93.83
291,93.59,93.45,93.88,93.51,93.87
292,93.66,93.61,93.92,93.55,93.85
293,93.64,93.44,94.09,93.57,93.85
294,93.53,93.57,94.05,93.55,93.77
295,93.58,93.43,93.95,93.53,93.75
296,93.56,93.49,93.97,93.59,93.81
297,93.69,93.45,94.03,93.54,93.86
298,93.68,93.57,93.89,93.53,93.81
299,93.73,93.49,93.98,93.78,93.87
300,93.56,93.54,94.09,93.63,93.75
301,93.68,93.55,93.95,93.67,93.77
302,93.62,93.57,93.91,93.73,93.77
303,93.62,92.89,93.98,93.66,93.75
304,93.6,93.7,93.99,93.64,93.77
305,93.61,93.48,93.93,93.56,93.79
306,93.6,93.1,93.92,93.44,93.7
307,93.5,93.41,93.97,93.53,93.82
308,93.12,93.49,94.01,93.23,93.83
309,93.29,93.42,94.03,93.69,93.81
310,93.01,93.28,93.94,93.65,93.71
311,93.27,93.57,93.98,93.7,93.68
312,93.29,93.5,94.09,93.5,93.87
313,92.9,93.53,93.95,93.62,93.77
314,93.09,93.57,93.91,93.62,93.75
315,92.55,93.57,93.99,93.71,93.77
316,93.03,93.57,93.99,93.64,93.79
317,93.14,93.55,93.91,93.7,93.8
318,93.18,93.41,93.92,93.44,93.84
319,93.16,93.48,94.0,93.57,93.85
320,93.42,93.57,93.85,93.56,93.83
321,93.3,93.6,94.01,93.67,93.84
322,93.28,93.64,93.9,93.64,93.81
323,93.39,93.7,93.97,93.57,93.81
324,93.22,93.57,94.01,93.66,93.72
325,93.35,93.65,93.91,93.63,93.88
326,93.44,93.6,94.02,93.57,93.82
327,93.45,93.66,93.98,93.66,93.71
328,93.46,93.7,93.95,93.52,93.8
329,93.28,93.49,93.97,93.52,93.81
330,93.28,93.46,93.96,93.51,93.82
331,93.33,93.51,94.0,93.59,93.79
332,93.41,93.61,93.89,93.54,93.83
333,93.4,93.51,93.93,93.65,93.78
334,93.39,93.53,94.02,93.48,93.79
335,93.2,93.49,93.96,93.6,93.77
336,93.28,93.46,94.03,93.59,93.79
337,93.37,93.51,94.02,93.63,93.83
338,93.39,93.51,94.02,93.59,93.77
339,93.4,93.63,93.91,93.66,93.79
340,93.04,93.6,93.86,93.64,93.81
341,92.85,93.73,93.93,93.59,93.91
342,92.86,93.71,93.93,93.59,93.83
343,93.26,93.8,93.98,93.48,93.78
344,93.27,93.74,93.88,93.5,93.76
345,93.09,93.74,93.95,93.45,93.82
346,93.03,93.74,93.95,93.56,93.82
347,93.28,93.8,94.01,93.67,93.8
348,93.23,93.64,94.01,93.49,93.78
349,92.94,93.86,94.0,93.53,93.82
350,93.01,93.76,94.07,93.62,93.83
351,93.06,93.83,93.91,93.61,93.73
352,93.25,93.81,93.98,93.62,93.78
353,93.34,93.68,94.02,93.61,93.88
354,93.18,93.8,93.99,93.71,93.76
355,93.14,93.78,93.95,93.69,93.73
356,93.14,93.76,93.91,93.67,93.77
357,93.21,93.78,93.92,93.82,93.75
358,93.43,93.63,93.93,93.81,93.88
359,93.34,93.8,93.98,93.76,93.84
360,93.42,93.84,94.0,93.8,93.72
361,93.25,93.74,93.94,93.75,93.76
362,93.21,93.78,93.98,93.47,93.71
363,93.36,93.78,93.93,93.56,93.78
364,93.49,93.84,93.93,93.44,93.83
365,93.39,93.72,93.95,93.64,93.74
366,93.18,93.68,93.99,93.65,93.72
367,93.33,93.76,94.05,93.7,93.79
368,93.23,93.76,94.01,93.7,93.87
369,93.06,93.78,93.96,93.69,93.76
370,93.39,93.79,93.96,93.63,93.82
371,93.11,93.77,94.02,93.52,93.75
372,92.96,93.8,93.95,93.61,93.84
373,93.07,93.72,93.92,93.64,93.83
374,93.28,93.78,93.98,93.58,93.84
375,93.25,93.76,93.95,93.7,93.71
376,93.28,93.67,94.01,93.7,93.82
377,93.11,93.72,94.03,93.73,93.78
378,93.3,93.79,94.0,93.7,93.78
379,93.48,93.74,93.89,93.57,93.81
380,93.46,93.7,93.92,93.61,93.82
381,93.49,93.73,93.95,93.57,93.8
382,93.61,93.7,93.94,93.78,93.78
383,93.57,93.76,93.96,93.88,93.75
384,93.5,93.68,93.95,93.79,93.75
385,93.57,93.7,94.0,93.56,93.89
386,93.63,93.67,93.96,93.61,93.82
387,93.63,93.75,94.0,93.72,93.8
388,93.59,93.67,93.87,93.65,93.93
389,93.35,93.81,93.9,93.64,93.73
390,93.45,93.76,93.92,93.54,93.9
391,93.45,93.68,93.87,93.63,93.76
392,93.5,93.83,93.99,93.41,93.83
393,93.5,93.74,93.94,93.33,93.85
394,93.46,93.74,93.98,93.44,93.85
395,93.37,93.66,94.01,93.53,93.79
396,93.3,93.77,93.95,93.56,93.85
397,93.16,93.77,93.93,93.66,93.84
398,93.29,93.77,93.94,93.53,93.84
399,93.4,93.84,93.99,93.53,93.78
400,93.26,93.7,93.96,93.65,93.73
